Module,Course,Language,Platform,Level,Duration,Ratings,Reviews_Count,Title,Description,Published_At,Views,Organization,URLs,Images
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,17,1.6,7982,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/27/2021,103955,Skill Builders,https://www.udacity.com/course/989,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udacity,Advanced,45,1.3,7804,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/26/2020,15477,Skill Builders,https://www.udacity.com/course/186,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,24,1.6,9130,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/7/2020,448461,Global Educators,https://www.coursera.com/course/61,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,10,1.8,2412,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/14/2020,71542,NextGen Learning,https://www.khanacademy.com/course/784,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,29,3.2,1383,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/30/2022,171603,NextGen Learning,https://www.khanacademy.com/course/558,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,48,4.5,3765,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,7/18/2020,131468,NextGen Learning,https://www.khanacademy.com/course/7,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udemy,Beginner,50,4.9,3564,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/6/2020,576782,Global Educators,https://www.udemy.com/course/340,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,1,2.6,930,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/2/2022,234647,Global Educators,https://www.khanacademy.com/course/41,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,15,4.8,2123,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/24/2020,860465,Skill Builders,https://www.coursera.com/course/12,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,52,3.7,81,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/27/2021,713924,Pro Tutors,https://www.udemy.com/course/666,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Advanced,96,1.1,312,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/2/2021,924132,NextGen Learning,https://www.coursera.com/course/252,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,89,3,2573,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/22/2022,844773,Pro Tutors,https://www.coursera.com/course/719,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Intermediate,1,2,5326,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/19/2022,246927,Pro Tutors,https://www.khanacademy.com/course/827,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,52,1.7,1918,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/7/2021,477346,Global Educators,https://www.udacity.com/course/130,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,73,1.3,8685,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/4/2023,679056,Pro Tutors,https://www.coursera.com/course/521,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udacity,Intermediate,55,1.7,6360,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/22/2021,515721,Pro Tutors,https://www.coursera.com/course/439,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Intermediate,43,4.6,5890,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/13/2021,778043,NextGen Learning,https://www.udacity.com/course/773,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Intermediate,98,4.5,9651,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/8/2021,168974,Global Educators,https://www.udacity.com/course/332,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Coursera,Intermediate,11,3.2,80,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/21/2022,988099,NextGen Learning,https://www.coursera.com/course/746,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Advanced,100,1.9,7903,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/9/2022,300239,NextGen Learning,https://www.udacity.com/course/258,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udemy,Advanced,15,4.5,452,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/17/2021,383941,Skill Builders,https://www.khanacademy.com/course/820,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Advanced,72,4.5,869,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/21/2022,489867,Skill Builders,https://www.udacity.com/course/259,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,56,2.9,1941,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/23/2023,790835,Skill Builders,https://www.udacity.com/course/685,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,22,2.9,6943,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/29/2022,219845,Global Educators,https://www.udemy.com/course/679,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Advanced,85,3.7,6781,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,7/17/2021,375917,Pro Tutors,https://www.khanacademy.com/course/488,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Advanced,77,2,2143,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/5/2021,500707,Global Educators,https://www.udacity.com/course/523,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Beginner,49,2,6617,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/8/2023,369983,Pro Tutors,https://www.udemy.com/course/29,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udacity,Intermediate,70,3.2,3418,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/18/2020,611856,Skill Builders,https://www.udacity.com/course/329,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,44,1.3,6059,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/14/2023,484029,Skill Builders,https://www.coursera.com/course/903,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Beginner,74,1.4,4512,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/2/2023,244351,NextGen Learning,https://www.khanacademy.com/course/728,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,6,1.5,2210,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/22/2020,199062,Skill Builders,https://www.udacity.com/course/425,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Intermediate,4,2.3,2465,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/1/2021,714836,NextGen Learning,https://www.udemy.com/course/171,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,6,3.6,8829,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/7/2021,750423,NextGen Learning,https://www.khanacademy.com/course/461,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Intermediate,21,1,7820,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/8/2022,81706,Global Educators,https://www.udemy.com/course/530,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Coursera,Advanced,76,4.2,4707,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,7/2/2021,68476,Global Educators,https://www.udacity.com/course/813,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,39,1.6,4108,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/16/2021,485516,Pro Tutors,https://www.udemy.com/course/692,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Udemy,Beginner,44,4.8,7781,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/15/2023,458452,Global Educators,https://www.udemy.com/course/873,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,45,3.1,8792,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/10/2020,339442,Skill Builders,https://www.khanacademy.com/course/24,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Beginner,70,4,9467,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/10/2022,44878,Skill Builders,https://www.udemy.com/course/701,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,84,4.6,4934,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,3/23/2023,186216,Global Educators,https://www.udacity.com/course/940,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Advanced,91,4.2,873,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/28/2022,562417,NextGen Learning,https://www.udemy.com/course/24,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Advanced,67,2.7,3088,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/20/2023,255005,NextGen Learning,https://www.udacity.com/course/528,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,40,3.6,2000,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/11/2021,578685,Pro Tutors,https://www.udacity.com/course/390,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Intermediate,80,3,3530,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/28/2021,659816,Skill Builders,https://www.udacity.com/course/697,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,92,4.9,4571,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/22/2022,515478,Skill Builders,https://www.udacity.com/course/69,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,44,1.4,400,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/14/2021,190994,Skill Builders,https://www.udemy.com/course/973,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,87,4.2,2046,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/18/2022,540209,Global Educators,https://www.coursera.com/course/452,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Coursera,Intermediate,18,2.4,3384,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/22/2020,685181,Global Educators,https://www.udacity.com/course/708,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,47,3.2,268,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/21/2023,477939,Pro Tutors,https://www.coursera.com/course/732,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udacity,Intermediate,1,3.4,8305,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,3/13/2021,345230,NextGen Learning,https://www.coursera.com/course/992,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,97,1.1,725,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/24/2020,439937,NextGen Learning,https://www.khanacademy.com/course/429,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,61,1.4,7815,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/4/2021,267366,Pro Tutors,https://www.udemy.com/course/318,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Advanced,88,4.5,198,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/30/2021,791890,Pro Tutors,https://www.khanacademy.com/course/210,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udacity,Beginner,64,1.2,4278,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/11/2022,871958,Pro Tutors,https://www.coursera.com/course/419,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,50,4.8,5885,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,7/10/2020,996945,Pro Tutors,https://www.udacity.com/course/32,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Advanced,91,2.6,5438,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/6/2021,767185,Global Educators,https://www.udacity.com/course/446,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Intermediate,10,4.9,422,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,12/12/2023,453224,Skill Builders,https://www.udacity.com/course/859,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Beginner,66,4.4,2362,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/20/2021,890442,NextGen Learning,https://www.coursera.com/course/838,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Intermediate,53,4.1,7820,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/22/2020,719585,Skill Builders,https://www.udemy.com/course/592,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Beginner,49,3.7,6325,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/16/2022,883659,Skill Builders,https://www.udacity.com/course/32,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Intermediate,83,3.2,2811,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,10/27/2023,370855,Skill Builders,https://www.coursera.com/course/600,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Advanced,50,3.3,1497,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/27/2020,206488,Global Educators,https://www.udacity.com/course/276,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Udacity,Advanced,15,1.1,8242,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/17/2021,4946,Pro Tutors,https://www.khanacademy.com/course/651,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Intermediate,33,4.1,1599,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/20/2020,343306,Skill Builders,https://www.udemy.com/course/789,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,55,3,4819,Learn Operating Systems with Udacity,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,1/22/2021,253932,NextGen Learning,https://www.udemy.com/course/788,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,97,3.6,9980,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/16/2020,591457,NextGen Learning,https://www.coursera.com/course/228,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Advanced,20,2.7,6178,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/20/2020,949534,Global Educators,https://www.coursera.com/course/816,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,85,4.9,9909,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,4/28/2022,239101,Pro Tutors,https://www.khanacademy.com/course/868,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udacity,Advanced,15,2.1,7434,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,6/8/2023,482158,Pro Tutors,https://www.khanacademy.com/course/945,https://n5su3bze2ea.b-cdn.net/brands/8s639cxjitj.png?width=640
Computer Sciences,Operating Systems,English,Coursera,Beginner,67,2.7,2708,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,8/17/2023,619991,Pro Tutors,https://www.udemy.com/course/45,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,59,3.7,4949,Learn Operating Systems with Udemy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,11/2/2022,303632,Pro Tutors,https://www.udemy.com/course/467,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,78,1.2,8271,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,2/3/2023,949455,Skill Builders,https://www.khanacademy.com/course/63,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Udemy,Intermediate,72,3.6,5258,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,9/29/2022,101988,Global Educators,https://www.coursera.com/course/402,https://freelogopng.com/images/all_img/1683006968udemy-icon-png.png
Computer Sciences,Operating Systems,English,Coursera,Beginner,71,4.6,6567,Learn Operating Systems with Coursera,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,3/23/2023,588566,Global Educators,https://www.coursera.com/course/941,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera.s3.amazonaws.com/media/coursera-rebrand-logo-square.png
Computer Sciences,Operating Systems,English,Khan Academy,Intermediate,77,2.6,4782,Learn Operating Systems with Khan Academy,This Computer Sciences course teaches operating systems in an easy-to-understand manner.,5/23/2022,473945,Global Educators,https://www.udacity.com/course/520,https://images.seeklogo.com/logo-png/39/1/khan-academy-logo-png_seeklogo-394590.png
