Student ID,Level,Program,Preferred Learning Method,Preferred Study Time,Preferred Language for Learning Materials,Challenging Subject Areas,Preferred Content Platforms,Topics of Interest,Future Goals,Challenges,Suggestions,Introduction to Computer Systems (CMIS 2113),Programming Fundamentals (CMIS 2123),Data Structures and Algorithms (CMIS 2214),Operating Systems (CMIS 3114),Database Systems (CMIS 3122),Object-Oriented Programming (CMIS 3134),Advanced Software Engineering (CMIS 4114),Artificial Intelligence (CMIS 4123),Network Security (CMIS 4134),Basic Electronics (ELTN 2112),Circuit Analysis (ELTN 2232),Microprocessor Systems (ELTN 3113),Digital Electronics (ELTN 3133),Embedded Systems Design (ELTN 4114),Power Electronics (ELTN 4213),Foundations of Industrial Management (IMGT 2112),Operations Management (IMGT 3112),Strategic Management (IMGT 4016),Linear Algebra (MATH 2114),Numerical Methods (MATH 3114),Optimization Techniques (MATH 4114),Introduction to Probability and Statistics (STAT 2112),Statistical Inference (STAT 3112),Time Series Analysis (STAT 4114)
222415,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Auditory, Reading/Writing, Visual",Morning,"English, Tamil, Sinhala","Maths, Computer Sciences","Coursera, Udemy, YouTube, Books, edX, Khan Academy","Programming, AI, Machine Learning",Software Engineer,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): A+,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): A,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): A,Circuit Analysis (ELTN 2232): B+,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): B+,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): C,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): A+,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222538,Level 2,B.Sc. (Special/Joint Major/General) Degree,Kinesthetic,Morning,"English, Tamil",Statistics,"Udemy, YouTube, edX, Khan Academy",Robotics,Researcher,Motivation,Online Courses,Introduction to Computer Systems (CMIS 2113): B+,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): C-,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): A,Circuit Analysis (ELTN 2232): A+,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): A+,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): B,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): B+,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
222851,Level 2,B.Sc. (Special/Joint Major/General) Degree,"Auditory, Reading/Writing",Afternoon,English,Maths,edX,Machine Learning,Entrepreneur,Understanding Concepts,Online Courses,Introduction to Computer Systems (CMIS 2113): B+,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): C,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): A+,Circuit Analysis (ELTN 2232): A+,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): D,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): B+,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): A+,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212673,Level 3,B.Sc. (General) Degree,Reading/Writing,Morning,"English, Sinhala","Computer Sciences, Maths, Statistics, Industrial Management","YouTube, Coursera","AI, Robotics",Data Scientist,Resources,Group Studies,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): B+,Database Systems (CMIS 3122): C-,Object-Oriented Programming (CMIS 3134): A+,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): E,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): B+,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): B+,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): E,Time Series Analysis (STAT 4114): None
212914,Level 3,B.Sc. (Special) Degree,"Auditory, Reading/Writing, Kinesthetic, Visual",Afternoon,"Sinhala, English, Tamil","Computer Sciences, Statistics, Maths","Coursera, Udemy, YouTube, Khan Academy","Data Science, AI, Programming, Robotics, Machine Learning",Teacher,Understanding Concepts,Online Courses,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): A,Object-Oriented Programming (CMIS 3134): C-,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): E,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): B+,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): C-,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): D,Time Series Analysis (STAT 4114): None
212225,Level 3,B.Sc. (General) Degree,"Reading/Writing, Visual, Kinesthetic",Evening,"Sinhala, Tamil, English","Statistics, Maths, Computer Sciences, Electronics","Udemy, Coursera, Books, edX","Data Science, AI, Machine Learning, Programming, Robotics",Researcher,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): A+,Object-Oriented Programming (CMIS 3134): B,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B+,Digital Electronics (ELTN 3133): E,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): B,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): C,Time Series Analysis (STAT 4114): None
212240,Level 3,B.Sc. (Joint Major) Degree,"Visual, Kinesthetic, Auditory, Reading/Writing",Evening,"English, Sinhala, Tamil","Statistics, Maths","Coursera, Khan Academy, Udemy","AI, Machine Learning, Programming",Researcher,Motivation,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): B,Database Systems (CMIS 3122): B+,Object-Oriented Programming (CMIS 3134): A,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): C-,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): C,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): A,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): B,Time Series Analysis (STAT 4114): None
222069,Level 2,B.Sc. (Special/Joint Major/General) Degree,Visual,Evening,"English, Tamil, Sinhala","Computer Sciences, Electronics, Statistics","Coursera, Khan Academy, YouTube, edX",Machine Learning,Software Engineer,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): B,Programming Fundamentals (CMIS 2123): C,Data Structures and Algorithms (CMIS 2214): A+,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): A,Circuit Analysis (ELTN 2232): A,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): C-,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): B+,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
212874,Level 3,B.Sc. (Joint Major) Degree,"Visual, Reading/Writing",Evening,"Sinhala, Tamil",Statistics,"Books, Coursera, YouTube, edX",Data Science,Entrepreneur,Time Management,More Practice,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): D,Object-Oriented Programming (CMIS 3134): A,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): C,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): D,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): A+,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): E,Time Series Analysis (STAT 4114): None
212561,Level 3,B.Sc. (Joint Major) Degree,"Reading/Writing, Visual, Kinesthetic, Auditory",Evening,"Sinhala, English, Tamil","Maths, Industrial Management","edX, Coursera","AI, Programming, Robotics, Data Science",Entrepreneur,Resources,Group Studies,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): A+,Database Systems (CMIS 3122): D,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B+,Digital Electronics (ELTN 3133): E,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): B,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): A+,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): C,Time Series Analysis (STAT 4114): None
212298,Level 3,B.Sc. (General) Degree,Visual,Evening,"Sinhala, Tamil, English",Computer Sciences,Khan Academy,"Robotics, Machine Learning",Teacher,Motivation,Interactive Learning,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): C-,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): A,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): B,Digital Electronics (ELTN 3133): B,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): A+,Strategic Management (IMGT 4016): None,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): C-,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): A+,Time Series Analysis (STAT 4114): None
202357,Level 4,B.Sc. (Special) Degree,"Auditory, Kinesthetic, Visual, Reading/Writing",Afternoon,English,"Electronics, Statistics, Maths, Industrial Management","Books, Khan Academy","Robotics, AI, Programming",Data Scientist,Resources,Interactive Learning,Introduction to Computer Systems (CMIS 2113): None,Programming Fundamentals (CMIS 2123): None,Data Structures and Algorithms (CMIS 2214): None,Operating Systems (CMIS 3114): None,Database Systems (CMIS 3122): None,Object-Oriented Programming (CMIS 3134): None,Advanced Software Engineering (CMIS 4114): None,Artificial Intelligence (CMIS 4123): None,Network Security (CMIS 4134): None,Basic Electronics (ELTN 2112): None,Circuit Analysis (ELTN 2232): None,Microprocessor Systems (ELTN 3113): None,Digital Electronics (ELTN 3133): None,Embedded Systems Design (ELTN 4114): None,Power Electronics (ELTN 4213): None,Foundations of Industrial Management (IMGT 2112): None,Operations Management (IMGT 3112): None,Strategic Management (IMGT 4016): C,Linear Algebra (MATH 2114): None,Numerical Methods (MATH 3114): None,Optimization Techniques (MATH 4114): None,Introduction to Probability and Statistics (STAT 2112): None,Statistical Inference (STAT 3112): None,Time Series Analysis (STAT 4114): None
